idi_tuaria,idseq,cdi_tuaria,nome,tipo,cdbigrama,cdtrigrama,cdterminal,situacao,gestao,modalidade,companhia,cnpj,legislacao,pro_didade,endereco,com_emento,numero,bairro,cep,idcidade,cidade,idestado,estado,idr_rafica,reg_rafica,loc_izacao,latitude,longitude,observacao,fonte,cdc_troide,NOTerminal,CNPJInstal,RazaoSocia,CNPJEmpres,RazaoSoc_1,IDTipoOuto,NOTipoOuto,IDTipoTerm,NOTipoTerm,NROutorga,DTOutorga,STTerminal,TPTerminal,VLMontante,DSSituacao,TPInstalac,NRTLO,DTTLO,NRInstrume,NRProcesso,layer,path
"300389","0",BRAM129,IP4 de Itapiranga,Registro - Instalação portuária pública,BR,BRA,BRAM129,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua José Panza,,,Cidade Baixa,"69120000","1302009",,,,,,Urubu,"-2.75","-58.022",Cadastro GAP 16/08/2019,Antaq,,IP4 de Itapiranga,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300390","0",BRAM130,IP4 de Manacapuru,Registro - Instalação portuária pública,BR,BRA,BRAM130,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Beira Rio,,,Terra Preta,"69401296","1302504",,,,,,Amazonas,"-3.295","-60.637",Cadastro GAP 16/08/2019,Antaq,,IP4 de Manacapuru,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300391","0",BRAM131,IP4 de Manaquiri,Registro - Instalação portuária pública,BR,BRA,BRAM131,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Beira Mar,,,Centro,"69435000","1302553",,,,,,Amazonas,"-3.427","-60.459",Cadastro GAP 16/08/2019,Antaq,,IP4 de Manaquiri,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300392","0",BRAM132,IP4 de Manicoré,Registro - Instalação portuária pública,BR,BRA,BRAM132,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Floriano Peixoto,,,Centro,"69280000","1302702",,,,,,São João,"-5.804","-61.299",Cadastro GAP 16/08/2019,Antaq,,IP4 de Manicoré,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300393","0",BRAM133,IP4 de Maués,Registro - Instalação portuária pública,BR,BRA,BRAM133,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Marçauari,,,Mirante de Eben,"69190000","1302900",,,,,,Amazonas,"-3.382","-57.724",Cadastro GAP 16/08/2019,Antaq,,IP4 de Maués,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300394","0",BRAM134,IP4 de Nhamundá,Registro - Instalação portuária pública,BR,BRA,BRAM134,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Nelson de Melo,,,Centro,"69140000","1303007",,,,,,Nhamundá,"-2.187","-56.713",Cadastro GAP,Antaq,,IP4 de Nhamundá,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300395","0",BRAM135,IP4 de Nova Olinda,Registro - Instalação portuária pública,BR,BRA,BRAM135,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Triunfo,,,Centro,"69230000","1303106",,,,,,Madeira,"-3.887","-59.091",Cadastro GAP 16/08/2019,Antaq,,IP4 de Nova Olinda,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300396","0",BRAM136,IP4 de Novo Airão,Registro - Instalação portuária pública,BR,BRA,BRAM136,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Antenor Carlos Frederico,,,Centro,"69730000","1303205",,,,,,Negro,"-2.621","-60.946",Cadastro GAP 16/08/2019,Antaq,,IP4 de Novo Airão,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300397","0",BRAM137,IP4 de Novo Aripuanã,Registro - Instalação portuária pública,BR,BRA,BRAM137,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua 19 de dezembro,,,Trabalhador,"69260000","1303304",,,,,,Aripuanã,"-5.115","-60.374",Cadastro GAP 16/08/2019,Antaq,,IP4 de Novo Aripuanã,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300398","0",BRAM138,IP4 de Parintins,Registro - Instalação portuária pública,BR,BRA,BRAM138,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Francisco Iannuzzi,,,Centro,"69150000","1303403",,,,,,Amazonas,"-2.624","-56.734",Cadastro GAP 16/08/2019,Antaq,,IP4 de Parintins,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300399","0",BRAM139,IP4 de Santa Isabel do Rio Negro,Registro - Instalação portuária pública,BR,BRA,BRAM139,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Avenida Dom Pedro Massa,,,Centro,"69740000","1303601",,,,,,Negro,"-0.417","-65.02",Cadastro GAP 22/08/2019,Antaq,,IP4 de Santa Isabel do Rio Negro,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300400","0",BRAM140,IP4 de São Raimundo,Registro - Instalação portuária pública,BR,BRA,BRAM140,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Padre Agostinho Caballero Martin,,,São Raimundo,"69027020","1302603",,,,,,Negro,"-3.125","-60.042",Cadastro GAP 22/08/2019,Antaq,,IP4 de São Raimundo,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300401","0",BRAM141,IP4 de São Sebastião do Uatumã,Registro - Instalação portuária pública,BR,BRA,BRAM141,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Justino de Melo,,,Centro,"69135000","1303957",,,,,,Uatumã,"-2.573","-57.87",Cadastro GAP 22/08/2019,Antaq,,IP4 de São Sebastião do Uatumã,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300402","0",BRAM142,IP4 de São Paulo de Olivença,Registro - Instalação portuária pública,BR,BRA,BRAM142,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Daniel Neves,,,José Carlos Mestrinho,"69600000","1303908",,,,,,Amazonas,"-3.462","-68.958",Cadastro GAP 22/08/2019,Antaq,,IP4 de São Paulo de Olivença,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300403","0",BRAM144,IP4 de Tapauá,Registro - Instalação portuária pública,BR,BRA,BRAM144,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Av Presindente Costa e Silva,,,Manoel Costa,"69480000","1304104",,,,,,Purus,"-5.618","-63.186",Cadastro GAP 22/08/2019,Antaq,,IP4 de Tapauá,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300404","0",BRAM145,IP4 de Tonantins,Registro - Instalação portuária pública,BR,BRA,BRAM145,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Getúlio Vargas,,,Centro,"69685000","1304237",,,,,,Amazonas,"-2.862","-67.771",Cadastro GAP 22/08/2019,Antaq,,IP4 de Tonantins,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300405","0",BRAM146,IP4 de Urucará,Registro - Instalação portuária pública,BR,BRA,BRAM146,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Coronel Pedro da Cunha,,,Aparecida,"69130000","1304302",,,,,,Uatumã,"-2.54","-57.751",Cadastro GAP 22/08/2019,Antaq,,IP4 de Urucará,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300406","0",BRAM147,IP4 de Urucurituba,Registro - Instalação portuária pública,BR,BRA,BRAM147,Em Operação,Privada,Registro - Instalação portuária pública de pequeno porte,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRA,"04892707003398",Res. 6884/2019,,Rua Arco Iris,,,Centro,"69180000","1304401",,,,,,Amazonas,"-3.123","-58.159",Cadastro GAP 22/08/2019,Antaq,,IP4 de Urucurituba,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,4892707003398,DNIT-DEPARTAMENTO NACIONAL DE INRAEST DE TRANSPORTES,"9",Registro (RN 13/2016),"7",Registro - Instalação portuária pública de pequeno porte,Res. 6884/2019,2019-05-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300407","0",BRAM148,Itaipava - Manaus,Registro - Instalação de apoio,BR,BRA,BRAM148,Em Operação,Privada,Registro - Instalação de apoio,ITAIPAVA S.A,"27078567000137",Res. 7130/2019,,Rua Desembargador Cesar do Rego,Galpão A,"552",Colonia,"68008445","1302603",,,,,,Negro,"-3.118","-59.923",Cadastro GAP 28/08/2019,Antaq,,Itaipava - Manaus,27078567000137,ITAIPAVA S.A,27078567000137,ITAIPAVA S.A,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 7130/2019,2019-08-20 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300408","0",BRAM149,Porto da Prainha,Registro - Instalação de apoio,BR,BRA,BRAM149,Em Operação,Privada,Registro - Instalação de apoio,E M GOMES COMERCIO,"10700967000130",Res. 7129/2019,,Rua do Produtor,,,Portobrás,"69640000","1304062",,,,,,Amazonas,"-4.238","-69.945",Cadastro GAP 30/08/2019,Antaq,,Porto da Prainha,10700967000130,E M GOMES COMERCIO,10700967000130,E M GOMES COMERCIO,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 7129/2019,2019-08-20 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300409","0",BRAP007,Porto Belnave I,Registro - Instalação de apoio,BR,BRA,BRAP007,Em Operação,Privada,Registro - Instalação de apoio,BELNAVE RODOFLUVIAL E LOGISTICA LTDA,"34889477000191",Res. 5656/2017,,Rod. Macapá Mazagão,,,Distrito Industrial,"68925000","1600105",,,,,,Matapi,"-0.007","-51.201",,Antaq,,Porto Belnave I,34889477000191,BELNAVE RODOFLUVIAL E LOGISTICA LTDA,34889477000191,BELNAVE RODOFLUVIAL E LOGISTICA LTDA,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 5656/2017,2017-09-18 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,"5656",NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300410","0",BRAP008,Reicon Santana,Registro - Instalação de apoio,BR,BRA,BRAP008,Em Operação,Privada,Registro - Instalação de apoio,REBELO INDUSTRIA COMERCIO E NAVEGACAO LTDA,"05685961000362",Res. 5681/2017,,"Rodovia Macapá/Marzagão, n/n, Rua 02","Setor 19, Quadra B, lote 4/5",,Setor Industrial,"68925000","1600600",,,,,,Amazonas,"-0.0546539","-51.1814","Processo: 50300.009908/2016-48 
Informações Inseridas pela GAP",Antaq,,Reicon Santana,5685961000362,REBELO INDUSTRIA COMERCIO E NAVEGACAO LTDA,5685961000109,"REBELO INDÚSTRIA, COMÉRCIO E NAVEGAÇÃO LTDA.","9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 5681/2017,2017-09-21 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,"5681",NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300411","0",BRAP012,Porto do Grego,Registro - Instalação de apoio,BR,BRA,BRAP012,Em Operação,Privada,Registro - Instalação de apoio,CONSTANTINOS E SANTOS LTDA,"05995261000102",Res. 6338/2018,,Rua Rio Jari,,"53",Área Portuária,"68925058","1600600",,,,,,Amazonas,"-0.06","-51.167",Cadastro feito pela GAP em 11/09/2018,Antaq,,Porto do Grego,5995261000102,CONSTANTINOS E SANTOS LTDA,5995261000102,CONSTANTINOS E SANTOS LTDA,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 6338/2018,2018-09-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300412","0",BRAP017,Itaipava S/A,Registro - Instalação de apoio,BR,BRA,BRAP017,Em Operação,Privada,Registro - Instalação de apoio,ITAIPAVA S.A,"27078567000137",Res. 6576/2018,,Rod Macapá/Mazagão,S/N Galpão B,,Distrito Industrial,"68929508","1600600",,,,,,Amazonas,"-0.008","-51.201",Processo 50300.007979/2017-97,Antaq,,Itaipava S/A,27078567000137,ITAIPAVA S.A,27078567000137,ITAIPAVA S.A,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 6576/2018,2018-12-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300413","0",BRAP018,Terminal Hidroviário São Benedito,Registro - Instalação de apoio,BR,BRA,BRAP018,Em Operação,Privada,Registro - Instalação de apoio,SUSYANE COSTA DE SOUSA,"02669790000128",Res. 6639/2018,,Rua Claudio Lucio Monteiro,S/N,,Comercial,"68925000","1600600",,,,,,Amazonas,"-0.058","-51.175",Processo 50300.005863/2017-13,Antaq,,Terminal Hidroviário São Benedito,2669790000128,SUSYANE COSTA DE SOUSA,2669790000128,SUSYANE COSTA DE SOUSA,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 6639/2018,2018-12-23 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300414","0",BRES022,Bravamar Serviços Marítimos Ltda,Registro - Instalação de apoio,BR,BRE,BRES022,Em Operação,Privada,Registro - Instalação de apoio,BRAVAMAR SERVIÇOS MARITIMOS EIRELI,"02774157000108",Res. 6912/2019,,Avenida Marechal Mascarenhas de Moraes,Ilha da Fumaça,"1740",Ilha de Santa Maria,"29153698","3205309",,,,,,,"-20.318","-40.314","Cadastro GAP 07/06/2019
Processo SEI 50300.000650/2018-86",Antaq,,Bravamar Serviços Marítimos Ltda,2774157000108,BRAVAMAR SERVIÇOS MARITIMOS EIRELI,2774157000108,BRAVAMAR SERVIÇOS MARITIMOS EIRELI,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 6912/2019,2019-05-21 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,"6912",NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300415","0",BRES030,Hidroport Serviços Marítimos Ltda - ME,Registro - Instalação de apoio,BR,BRE,BRES030,Em Operação,Privada,Registro - Instalação de apoio,HIDROPORT SERVIÇOS MARÍTIMOS LTDA. - ME,"27777643000100",Res. 6434/2018,,Rua Beira Mar,,"69",Glória,"29122780","3205200",,,,,,,"-20.328","-40.307",Cadastrado pela GAP em 18/10/2018.,Antaq,,Hidroport Serviços Marítimos Ltda - ME,27777643000100,HIDROPORT SERVIÇOS MARÍTIMOS LTDA. - ME,27777643000100,HIDROPORT SERVIÇOS MARÍTIMOS LTDA. - ME,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 6434/2018,2018-10-18 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300416","0",BRES031,Marina da Glória,Registro - Instalação de apoio,BR,BRE,BRES031,Em Operação,Privada,Registro - Instalação de apoio,MARINA DA GLÓRIA SERVIÇOS MARÍTIMOS E REPARO,"23421729000137",Res. 6579/2018,,Rua Beira Mar,Portão Azul,"262",Glória,"24122180","3205200",,,,,,,"-20.328","-40.308",Processo 50300.010374/2016-01,Antaq,,Marina da Glória,23421729000137,MARINA DA GLÓRIA SERVIÇOS MARÍTIMOS E REPAROS NAVAIS EIRELI,23421729000137,MARINA DA GLÓRIA SERVIÇOS MARÍTIMOS E REPAROS NAVAIS EIRELI,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 6579/2018,2018-12-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300417","0",BRMA006,Pipes Empreendimentos Ltda,Registro - Estaleiro,BR,BRM,BRMA006,Em Operação,Privada,Registro - Estaleiro,PIPES EMPREENDIMENTOS LTDA.,"06065767000185",Res. 6570/2018,,Praça Goiás,,"15",Centro,"65980000","2102804",,,,,,Branco,"-7.334","-47.476",Processo 50300.012552/2017-19,Antaq,,Pipes Empreendimentos Ltda,6065767000185,PIPES EMPREENDIMENTOS LTDA.,6065767000185,PIPES EMPREENDIMENTOS LTDA.,"9",Registro (RN 13/2016),"15",Registro - Estaleiro,Res. 6570/2018,2018-12-13 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
